Id,SEX,CITY,LOCATION,FIO_TIME,DESCRIPTION,COMPLEXION,FIOFS_TYPE,OUTCOME,FIO_DATE_CORRECTED,CLOTHING,AGE_AT_FIO_CORRECTED,STOP_REASONS,FIOFS_REASONS
67,MALE,BOSTON,0 DORCHESTER AV at ROSECLAIR S,3/17/15 00:00,B(Black),Med,IO,F,3/17/15 00:00,blue hat; gray coat; blue jeans; white sneakers,-1,,INVESTIGATE; PERSON
101,MALE,BOSTON,355  MERIDIAN ST,3/1/15 00:00,H(Hispanic),Med,IO,F,3/1/15 00:00,white MUSCLE shirt; blue jeans,-1,,INVESTIGATE; PERSON
103,MALE,BOSTON,49 DAKOTA ST,3/14/15 00:00,B(Black),Med,IOF,F,3/14/15 00:00,red t-shirt; blue jeans,-1,INVESTIGATIVE,PUBLIC DRINKING
104,MALE,BOSTON,135 DUDLEY ST,3/25/15 00:00,B(Black),NO DATA ENTERED,O,F,3/25/15 00:00,gray hoodie,17,INVESTIGATIVE,INVESTIGATE; PERSON
105,MALE,BOSTON,135 DUDLEY ST,3/25/15 00:00,B(Black),Med,IOFS,,3/25/15 00:00,white T; blue jeans,-1,OTHER (SPECIFY),INVESTIGATE; PERSON
106,MALE,BOSTON,316 WASHINGTON ST,3/24/15 00:00,H(Hispanic),Light,IOF,F,3/24/15 00:00,brown fleece; black athletic pants,-1,,PANHANDLING
157,MALE,BOSTON,75 BRADFIELD AV,4/27/15 00:00,NO DATA ENTERED,NO DATA ENTERED,IO,F,4/27/15 00:00,NMCC BLUE HOODIE; blue jeans; black NIKE JACKET,-1,RADIO CALL,ROBBERY; ARMED PERSON
158,MALE,BOSTON,40 FOWLER ST,4/25/15 00:00,B(Black),Med,IOF,F,4/25/15 00:00,blue hatjacketbluejeans,-1,INVESTIGATIVE,INVESTIGATE; PERSON
159,FEMALE,BOSTON,29 ADAMS ST,4/25/15 00:00,W(White),Light,IO,F,4/25/15 00:00,BLU JCK; PINK SHT; jeans,-1,,WARRANT ARREST
219,MALE,BOSTON,115 WESTVILLE ST,3/24/15 00:00,B(Black),NO DATA ENTERED,IOF,F,3/24/15 00:00,black HOODIE; blue jeans,-1,,VAL
220,MALE,BOSTON, TREMONT ST at AGUADILLA ST,3/24/15 00:00,H(Hispanic),Med,IO,F,3/24/15 00:00,black LEATHER JKT; blue jeans,-1,INVESTIGATIVE,DRUGS; INVESTIGATION
221,MALE,BOSTON, TREMONT ST at AGUADILLA ST,3/24/15 00:00,H(Hispanic),Light,IOFS,F,3/24/15 00:00,green jacket; blue shirt; blue jeans,-1,INVESTIGATIVE,PUBLIC DRINKING
222,MALE,BOSTON, AGUADILLA ST,3/24/15 00:00,H(Hispanic),NO DATA ENTERED,IO,F,3/24/15 00:00,red jacket; gray sweatpants; sneakers,-1,,INVESTIGATE; PERSON
223,MALE,BOSTON, AGUADILLA ST,3/24/15 00:00,H(Hispanic),Light,IO,F,3/24/15 00:00,redsweatshirtbluejeans,-1,INVESTIGATIVE,INVESTIGATE; PERSON
388,MALE,BOSTON, AGUADILLA ST,3/24/15 00:00,H(Hispanic),NO DATA ENTERED,IO,F,3/24/15 00:00,,-1,INVESTIGATIVE,INVESTIGATE; PERSON
389,MALE,BOSTON, HOWARD AV at HARTFORD ST,3/19/15 00:00,W(White),Light,IOF,F,3/19/15 00:00,black hoodie; blue jeans; red/black sneakers,-1,INVESTIGATIVE,INVESTIGATE; PERSON
390,MALE,BOSTON, CEDAR ST at JUNIPER ST,3/22/15 00:00,B(Black),Dark,IO,F,3/22/15 00:00,blue winter hat;brown jacket; dark blue jeans and white sneakers,-1,,ALCOHOL; PUBLIC DRINKING
391,MALE,BOSTON,83 CAMDEN ST,3/16/15 00:00,H(Hispanic),Med,IF,F,3/16/15 00:00,blacksweatewrwhiteyogapantsblackboots,-1,INVESTIGATIVE,INVESTIGATE; PERSON
392,MALE,BOSTON,00 TREMONT ST,3/13/15 00:00,H(Hispanic),Med,IOS,F,3/13/15 00:00,,-1,INVESTIGATIVE,INVESTIGATE; PERSON
394,MALE,BOSTON,33 KILMARNOCK ST,3/10/15 00:00,B(Black),OTHER,IOS,F,3/10/15 00:00,black HOODIEblackjeansblackBOOTS,-1,INVESTIGATIVE,INVESTIGATE; PERSON
441,FEMALE,BOSTON,00 MASSACHUSETTS AV,3/18/15 00:00,W(White),Light,I,F,3/18/15 00:00,black  HOODIE gray jeans AND black  sneakers,-1,MOTOR VEHICLE VIOLATION,VAL
443,FEMALE,BOSTON, BOWDOIN ST at HAMILTON ST,1/5/15 00:00,B(Black),Dark,IO,F,1/5/15 00:00,WHITE T-shirt; blue jeans,-1,OTHER (SPECIFY),INVESTIGATE; PERSON
445,MALE,BOSTON, W TREMLETT ST at WASHINGTON S,1/5/15 00:00,B(Black),NO DATA ENTERED,IO,F,1/5/15 00:00,,-1,INVESTIGATIVE,INVESTIGATE; PERSON
446,FEMALE,BOSTON, BOUTWELL ST at NEPONSET AV,1/16/15 00:00,W(White),Light,I,F,1/16/15 00:00,black T shirt; black PANTS; BROWN BOOTS,-1,RADIO CALL,HOME INVASION
449,FEMALE,BOSTON,362 GENEVA AV,1/5/15 00:00,B(Black),Dark,O,F,1/5/15 00:00,Silver jacket/ black pants/ Tan boots,34,RADIO CALL,INVESTIGATE; PERSON
528,MALE,BOSTON, TALBOT AV at NORFOLK ST,3/17/15 00:00,B(Black),NO DATA ENTERED,O,F,3/17/15 00:00,BLUE HOODED POLO; blue jeans,24,,INVESTIGATE; PERSON
560,MALE,BOSTON,00 MASSACHUSETTS AV,1/1/15 00:00,H(Hispanic),Med,IOF,F,1/1/15 00:00,black/GRY CHECKEred hoodie,-1,OTHER (SPECIFY),VAL
610,FEMALE,BOSTON,32 BOUTWELL ST,1/6/15 00:00,H(Hispanic),Light,F,O,1/6/15 00:00,black petty coat/ blue jeans,20,INVESTIGATIVE,INVESTIGATE; PERSON
611,FEMALE,BOSTON,717 WALK HILL ST,3/27/15 00:00,B(Black),Dark,IO,F,3/27/15 00:00,black YELLOW HAT; black COAT; black PANTS; black YELLOW sneakers,-1,,INVESTIGATE; PERSON
612,MALE,BOSTON,3350 WASHINGTON ST,3/22/15 00:00,W(White),Light,IO,F,3/22/15 00:00,GRAY SWTS black JACKET,-1,INVESTIGATIVE,INVESTIGATE; PERSON
613,FEMALE,BOSTON,717 WALK HILL ST,3/27/15 00:00,B(Black),Dark,IO,F,3/27/15 00:00,black JKT; black jeans,-1,INVESTIGATIVE,INVESTIGATE; PERSON
614,MALE,BOSTON,200 HANCOCK ST,3/3/15 00:00,B(Black),Med,O,F,3/3/15 00:00,black jeans/ black coat,22,RADIO CALL,CITY ORDINANCE; NOISE
620,MALE,BOSTON, ELLINGTON ST at BLUE HILL AV,3/13/15 00:00,B(Black),Dark,IOFS,F,3/13/15 00:00,Gray sweater  black pants,-1,MOTOR VEHICLE VIOLATION,VAL
684,MALE,BOSTON,178 CALLENDER ST,3/24/15 00:00,B(Black),Med,IOFS,F,3/24/15 00:00,,-1,,INVESTIGATE; PERSON
