ct10_id,Median Household Income
25001010100,44646
25001010206,66109
25001010208,80425
25001010304,64659
25001010306,54464
25001010400,51614
25001010500,62589
25001010600,64477
25001010700,67569
25001010800,58610
25001010900,57955
25001011002,55865
25001011100,55833
25001011200,52146
25001011300,55764
25001011400,61013
25001011500,50244
25001011600,47188
25001011700,36555
25001011801,63092
25001011802,62589
25001012001,50590
25001012002,37135
25001012101,48036
25001012102,43941
25001012200,71516
25001012502,47353
25001012601,69784
25001012602,36683
25001012700,62684
25001012800,75250
25001012900,64631
25001013002,73954
25001013100,70348
25001013200,75166
25001013300,81848
25001013400,87269
25001013500,86490
25001013600,82198
25001013700,53274
25001013800,68597
25001013900,70197
25001014002,60788
25001014100,39803
25001014300,67750
25001014402,71305
25001014500,57757
25001014600,62841
25001014700,53047
25001014800,30161
25001014900,82850
25001015001,64803
25001015002,52083
25001015100,66056
25001015200,68906
25001015300,29940
25003900100,19712
25003900200,31374
25003900300,56646
25003900400,45391
25003900500,61982
25003900600,28710
25003900700,50430
25003900800,72952
25003900900,49208
25003901100,46412
25003911100,66458
25003912100,57222
25003913100,60604
25003914100,50599
25003920101,58468
25003920102,78529
25003921300,33401
25003921400,35417
25003921500,35885
25003922100,33000
25003922200,38255
25003922300,44604
25003923100,57419
25003924100,55096
25003925100,52843
25003926100,47145
25003931100,52054
25003931300,54167
25003931400,70662
25003932200,48478
25003932300,60766
25003933200,63250
25003933300,57917
25003933400,62955
25003934200,68750
25003934300,55764
25003935100,79145
25003935200,54000
25003935300,40023
25005600100,66042
25005600202,67361
25005600203,127500
25005600204,82256
25005610100,59741
25005610202,117288
25005610203,109544
25005610204,83491
25005611101,90453
25005611102,83105
25005611201,80444
25005611202,64031
25005612100,90691
25005612200,69496
25005613100,63002
25005613300,85221
25005613400,66500
25005613600,33417
25005613700,50333
25005613800,25568
25005613901,41302
25005613902,47143
25005614000,35603
25005614101,60843
25005614102,81149
25005615100,83621
25005616100,81125
25005617101,91095
25005617102,73828
25005630101,58895
25005630102,66250
25005630200,103463
25005630300,80406
25005630400,63576
25005631100,65028
25005631200,77641
25005631300,69488
25005631400,42881
25005631500,61941
25005631600,48167
25005631700,74625
25005631800,76157
25005632100,79877
25005632200,68750
25005633100,101429
25005633200,80000
25005640100,39811
25005640200,24583
25005640300,31071
25005640400,36860
25005640500,33617
25005640600,31563
25005640700,43094
25005640800,33911
25005640901,29579
25005641000,21362
25005641101,14226
25005641200,20648
25005641300,21690
25005641400,25080
25005641500,30903
25005641600,37824
25005641700,54762
25005641800,47059
25005641900,32372
25005642000,36452
25005642100,52780
25005642200,42533
25005642300,69135
25005642400,48920
25005642500,67381
25005644101,65625
25005644102,74167
25005644200,65712
25005645101,64415
25005645102,63692
25005645103,81371
25005646101,62441
25005646103,75214
25005646104,72105
25005650101,65587
25005650102,54453
25005650201,53402
25005650202,39138
25005650300,48422
25005650400,41075
25005650500,45997
25005650600,21638
25005650700,26271
25005650800,19649
25005650900,22171
25005651001,34888
25005651002,48947
25009221400,60299
25005651100,24731
25005651200,15674
25005651300,25560
25005651400,36560
25005651500,32543
25005651600,54036
25005651700,17453
25005651800,13071
25005651900,20085
25005652000,33261
25005652100,66651
25005652200,68750
25005652300,34180
25005652400,36409
25005652500,27347
25005652600,28594
25005652700,21803
25005652800,44901
25005653101,62188
25005653102,83355
25005653203,58378
25005653204,68018
25005653301,72072
25005653304,91538
25005654100,77361
25005654200,58548
25005655100,66205
25005655200,35711
25005655300,53125
25005655400,63472
25005985500,85100
25005985600,101136
25007200100,58551
25007200200,59156
25007200300,67625
25007200400,68906
25009201100,81831
25009202101,106276
