ct10_id,totpop
25025981600,0
25025010300,4861
25001010100,2942
25001010206,2750
25001010208,2003
25001010304,2421
25001010306,2535
25001010400,2999
25001010500,2891
25001010600,2973
25001010700,3152
25001010800,4878
25001010900,4942
25001011002,4157
25001011100,4694
25001011200,3392
25001011300,2600
25001011400,2991
25001011500,4029
25001011600,2710
25001011700,1877
25001011801,2403
25001011802,4255
25001012001,5732
25001012002,3007
25001012101,5339
25001012102,3057
25001012200,5046
25001012502,3080
25001012601,2877
25001012602,4915
25001012700,4562
25001012800,3923
25001012900,4135
25001013002,2899
25001013100,5935
25001013200,4783
25001013300,3218
25001013400,4163
25001013500,6940
25001013600,6334
25001013700,4911
25001013800,4840
25001013900,4831
25001014002,4053
25001014100,1141
25001014300,4384
25001014402,6947
25001014500,5395
25001014600,4130
25001014700,3690
25001014800,3387
25001014900,3598
25001015001,4417
25001015002,3713
25001015100,3809
25001015200,2065
25001015300,3038
25001990000,0
25003900100,3389
25003900200,4449
25003900300,2903
25003900400,4862
25003900500,3288
25003900600,4117
25003900700,2910
25003900800,4835
25003900900,5134
25003901100,3729
25003911100,3091
25003912100,6756
25003913100,5025
25003914100,5943
25003920101,4638
25003920102,3116
25003921300,5118
25003921400,1699
25003921500,3100
25003922100,2680
25003922200,3689
25003922300,2116
25003923100,3235
25003924100,1947
25003925100,7104
25003926100,3257
25003931100,1702
25003931300,1444
25003931400,1746
25003932200,2317
25003932300,2032
25003933200,1288
25003933300,1509
25003933400,2527
25003934200,1306
25003934300,1886
25003935100,2420
25003935200,5121
25003935300,3791
25005600100,3920
25005600202,4481
25005600203,5611
25005600204,3895
25005610100,5103
25005610202,5586
25005610203,6883
25005610204,5612
25005611101,4585
25005611102,5047
25005611201,3003
25005611202,6396
25005612100,4538
25005612200,8845
25005613100,6327
25005613300,7201
25005613400,3812
25005613600,3771
25005613700,4369
25005613800,4519
25005613901,2801
25005613902,4751
25005614000,4472
25005614101,6833
25005614102,7018
25005615100,7086
25005616100,6411
25005617101,4681
25005617102,4189
25005630101,2855
25005630102,4201
25005630200,8204
25005630300,8597
25005630400,4855
25005631100,8093
25005631200,6841
25007990000,0
25005631300,5183
25005631400,2674
25005631500,2797
25005631600,3955
25005631700,6471
25005631800,7579
25005632100,6543
25005632200,7179
25005633100,5490
25005633200,6118
25005640100,5358
25005640200,5954
25005640300,3693
25005640400,2682
25005640500,5165
25005640600,4450
25005640700,2900
25005640800,3813
25005640901,5071
25005641000,2419
25005641101,1712
25005641200,2803
25005641300,5326
25005641400,2586
25005641500,2401
25005641600,2323
25005641700,5096
25005641800,2059
25005641900,2275
25005642000,3274
25005642100,4144
25005642200,3881
25005642300,2195
25005642400,2760
25005642500,4517
25005644101,5828
25005644102,5057
25005644200,7280
25005645101,4863
25005645102,5385
25005645103,5617
25005646101,7356
25005646103,5604
25005646104,2572
25005650101,5753
25005650102,4879
25005650201,2916
25005650202,2142
25005650300,3304
25005650400,3773
25005650500,3141
25005650600,2759
25005650700,2583
25005650800,3651
25005650900,2867
25005651001,2865
25005651002,3833
25005651100,4117
25005651200,2068
25005651300,2227
25005651400,3215
25005651500,3115
25005651600,3862
25005651700,1983
25005651800,1745
25005651900,1942
25005652000,2676
25005652100,2815
25005652200,2836
25005652300,2870
